President,Date,Approval Rating
Truman,1945,87%
Truman,1946,51%
Truman,1947,63%
Truman,1948,36%
Truman,1949,57%
Truman,1950,37%
Truman,1951,28%
Truman,1952,28%
Eisenhower,1953,74%
Eisenhower,1954,66%
Eisenhower,1955,66%
Eisenhower,1956,73%
Eisenhower,1957,65%
Eisenhower,1958,48%
Eisenhower,1959,62%
Eisenhower,1960,65%
Kennedy,1961,73%
Kennedy,1962,79%
Kennedy,1963,67%
Johnson,1964,75%
Johnson,1965,69%
Johnson,1966,57%
Johnson,1967,46%
Johnson,1968,36%
Nixon,1969,63%
Nixon,1970,54%
Nixon,1971,50%
Nixon,1972,53%
Nixon,1973,57%
Nixon,1974,26%
Ford,1975,37%
Ford,1976,50%
Carter,1977,72%
Carter,1978,48%
Carter,1979,42%
Carter,1980,39%
Reagan,1981,67%
Reagan,1982,46%
Reagan,1983,41%
Reagan,1984,54%
Reagan,1985,56%
Reagan,1986,63%
Reagan,1987,47%
Reagan,1988,51%
H. W. Bush,1989,56%
H. W. Bush,1990,74%
H. W. Bush,1991,82%
H. W. Bush,1992,42%
Clinton,1993,52%
Clinton,1994,51%
Clinton,1995,44%
Clinton,1996,52%
Clinton,1997,59%
Clinton,1998,66%
Clinton,1999,64%
Clinton,2000,59%
G. W. Bush,2001,53%
G. W. Bush,2002,79%
G. W. Bush,2003,71%
G. W. Bush,2004,53%
G. W. Bush,2005,45%
G. W. Bush,2006,37%
G. W. Bush,2007,34%
G. W. Bush,2008,32%
Obama,2009,62%
Obama,2010,49%
Obama,2011,48%
Obama,2012,46%
Obama,2013,48%
Obama,2014,43%
Obama,2015,47%
Obama,2016,51%
Trump,2017,40%
Trump,2018,39%
Trump,2019,39%
Trump,2020,46%
Biden,2021,54%
Biden,2022,42%
Biden,2023,40%
Biden,2024,40%
Trump,2025,43%
